host_resource,host_field,target_resource,candidate_satellite,suffix_after_stem,target_field,name_match_score,match_kind
CaravanStop,CaravanKey,Caravan,CaravanStopKey,StopKey,,0.00,no_match
CaravanStop,StopShowingAgentKey,Member,StopShowingAgentFirstName,FirstName,MemberFirstName,1.00,target_prefix
CaravanStop,StopShowingAgentKey,Member,StopShowingAgentLastName,LastName,MemberLastName,1.00,target_prefix
CaravanStop,StopShowingAgentKey,Member,StopShowingAgentMlsId,MlsId,MemberMlsId,1.00,target_prefix
ContactListings,ContactKey,Contacts,ContactListingPreference,ListingPreference,,0.00,no_match
ContactListings,ContactKey,Contacts,ContactListingsKey,ListingsKey,,0.00,no_match
ContactListings,ContactKey,Contacts,ContactLoginId,LoginId,ContactLoginId,1.00,target_singular_prefix
ContactListings,ContactKey,Contacts,ContactNotesUnreadYN,NotesUnreadYN,,0.00,no_match
Contacts,OriginatingSystemID,OUID,OriginatingSystemContactKey,ContactKey,,0.00,no_match
Contacts,OriginatingSystemID,OUID,OriginatingSystemName,Name,,0.00,no_match
Contacts,SourceSystemID,OUID,SourceSystemContactKey,ContactKey,,0.00,no_match
Contacts,SourceSystemID,OUID,SourceSystemName,Name,,0.00,no_match
HistoryTransactional,OriginatingSystemID,OUID,OriginatingSystemHistoryKey,HistoryKey,,0.00,no_match
HistoryTransactional,OriginatingSystemID,OUID,OriginatingSystemName,Name,,0.00,no_match
HistoryTransactional,SourceSystemID,OUID,SourceSystemHistoryKey,HistoryKey,,0.00,no_match
HistoryTransactional,SourceSystemID,OUID,SourceSystemName,Name,,0.00,no_match
Media,SourceSystemID,OUID,SourceSystemMediaKey,MediaKey,,0.00,no_match
Media,SourceSystemID,OUID,SourceSystemName,Name,,0.00,no_match
Media,SourceSystemID,OUID,SourceSystemResourceRecordId,ResourceRecordId,,0.00,no_match
Media,SourceSystemID,OUID,SourceSystemResourceRecordKey,ResourceRecordKey,,0.00,no_match
Media,SourceSystemID,OUID,SourceSystemResourceRecordSystemId,ResourceRecordSystemId,,0.00,no_match
Member,OfficeKey,Office,OfficeMlsId,MlsId,OfficeMlsId,1.00,target_prefix
Member,OfficeKey,Office,OfficeName,Name,OfficeName,1.00,target_prefix
Member,OriginatingSystemID,OUID,OriginatingSystemMemberKey,MemberKey,,0.00,no_match
Member,OriginatingSystemID,OUID,OriginatingSystemName,Name,,0.00,no_match
Member,SourceSystemID,OUID,SourceSystemMemberKey,MemberKey,,0.00,no_match
Member,SourceSystemID,OUID,SourceSystemName,Name,,0.00,no_match
Office,MainOfficeKey,Office,MainOfficeMlsId,MlsId,OfficeMlsId,1.00,target_prefix
Office,OfficeBrokerKey,Member,OfficeBrokerMlsId,MlsId,MemberMlsId,1.00,target_prefix
Office,OfficeManagerKey,Member,OfficeManagerMlsId,MlsId,MemberMlsId,1.00,target_prefix
Office,OriginatingSystemID,OUID,OriginatingSystemName,Name,,0.00,no_match
Office,OriginatingSystemID,OUID,OriginatingSystemOfficeKey,OfficeKey,,0.00,no_match
Office,SourceSystemID,OUID,SourceSystemName,Name,,0.00,no_match
Office,SourceSystemID,OUID,SourceSystemOfficeKey,OfficeKey,,0.00,no_match
OfficeAssociation,OfficeKey,Office,OfficeAssociationPrimaryIndicator,AssociationPrimaryIndicator,,0.00,no_match
OfficeAssociation,OfficeKey,Office,OfficeAssociationStatus,AssociationStatus,,0.00,no_match
OfficeAssociation,OfficeKey,Office,OfficeAssociationStatusDate,AssociationStatusDate,,0.00,no_match
OfficeAssociation,OfficeKey,Office,OfficeMlsId,MlsId,OfficeMlsId,1.00,target_prefix
OfficeCorporateLicense,OfficeKey,Office,OfficeCorporateLicense,CorporateLicense,OfficeCorporateLicense,1.00,target_prefix
OfficeCorporateLicense,OfficeKey,Office,OfficeCorporateLicenseExpirationDate,CorporateLicenseExpirationDate,,0.00,no_match
OfficeCorporateLicense,OfficeKey,Office,OfficeCorporateLicenseKey,CorporateLicenseKey,,0.00,no_match
OfficeCorporateLicense,OfficeKey,Office,OfficeCorporateLicenseState,CorporateLicenseState,,0.00,no_match
OfficeCorporateLicense,OfficeKey,Office,OfficeCorporateLicenseType,CorporateLicenseType,,0.00,no_match
OfficeCorporateLicense,OfficeKey,Office,OfficeMlsId,MlsId,OfficeMlsId,1.00,target_prefix
OpenHouse,ShowingAgentKey,Member,ShowingAgentFirstName,FirstName,MemberFirstName,1.00,target_prefix
OpenHouse,ShowingAgentKey,Member,ShowingAgentLastName,LastName,MemberLastName,1.00,target_prefix
OpenHouse,ShowingAgentKey,Member,ShowingAgentMlsID,MlsID,MemberMlsId,0.80,target_prefix_casefold
Property,BuyerAgentKey,Member,BuyerAgentAOR,AOR,MemberAOR,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentDesignation,Designation,MemberDesignation,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentDirectPhone,DirectPhone,MemberDirectPhone,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentEmail,Email,MemberEmail,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentFax,Fax,MemberFax,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentFirstName,FirstName,MemberFirstName,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentFullName,FullName,MemberFullName,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentHomePhone,HomePhone,MemberHomePhone,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentLastName,LastName,MemberLastName,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentMiddleName,MiddleName,MemberMiddleName,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentMlsId,MlsId,MemberMlsId,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentMobilePhone,MobilePhone,MemberMobilePhone,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentNamePrefix,NamePrefix,MemberNamePrefix,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentNameSuffix,NameSuffix,MemberNameSuffix,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentOfficePhone,OfficePhone,MemberOfficePhone,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentOfficePhoneExt,OfficePhoneExt,MemberOfficePhoneExt,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentPager,Pager,MemberPager,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentPreferredPhone,PreferredPhone,MemberPreferredPhone,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentPreferredPhoneExt,PreferredPhoneExt,MemberPreferredPhoneExt,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentStateLicense,StateLicense,MemberStateLicense,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentTollFreePhone,TollFreePhone,MemberTollFreePhone,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentURL,URL,,0.00,no_match
Property,BuyerAgentKey,Member,BuyerAgentVoiceMail,VoiceMail,MemberVoiceMail,1.00,target_prefix
Property,BuyerAgentKey,Member,BuyerAgentVoiceMailExt,VoiceMailExt,MemberVoiceMailExt,1.00,target_prefix
Property,BuyerOfficeKey,Office,BuyerOfficeAOR,AOR,OfficeAOR,1.00,target_prefix
Property,BuyerOfficeKey,Office,BuyerOfficeEmail,Email,OfficeEmail,1.00,target_prefix
Property,BuyerOfficeKey,Office,BuyerOfficeFax,Fax,OfficeFax,1.00,target_prefix
Property,BuyerOfficeKey,Office,BuyerOfficeMlsId,MlsId,OfficeMlsId,1.00,target_prefix
Property,BuyerOfficeKey,Office,BuyerOfficeName,Name,OfficeName,1.00,target_prefix
Property,BuyerOfficeKey,Office,BuyerOfficePhone,Phone,OfficePhone,1.00,target_prefix
Property,BuyerOfficeKey,Office,BuyerOfficePhoneExt,PhoneExt,OfficePhoneExt,1.00,target_prefix
Property,BuyerOfficeKey,Office,BuyerOfficeURL,URL,,0.00,no_match
Property,BuyerTeamKey,Teams,BuyerTeamName,Name,TeamName,1.00,target_singular_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentAOR,AOR,MemberAOR,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentDesignation,Designation,MemberDesignation,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentDirectPhone,DirectPhone,MemberDirectPhone,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentEmail,Email,MemberEmail,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentFax,Fax,MemberFax,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentFirstName,FirstName,MemberFirstName,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentFullName,FullName,MemberFullName,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentHomePhone,HomePhone,MemberHomePhone,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentLastName,LastName,MemberLastName,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentMiddleName,MiddleName,MemberMiddleName,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentMlsId,MlsId,MemberMlsId,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentMobilePhone,MobilePhone,MemberMobilePhone,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentNamePrefix,NamePrefix,MemberNamePrefix,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentNameSuffix,NameSuffix,MemberNameSuffix,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentOfficePhone,OfficePhone,MemberOfficePhone,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentOfficePhoneExt,OfficePhoneExt,MemberOfficePhoneExt,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentPager,Pager,MemberPager,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentPreferredPhone,PreferredPhone,MemberPreferredPhone,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentPreferredPhoneExt,PreferredPhoneExt,MemberPreferredPhoneExt,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentStateLicense,StateLicense,MemberStateLicense,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentTollFreePhone,TollFreePhone,MemberTollFreePhone,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentURL,URL,,0.00,no_match
Property,CoBuyerAgentKey,Member,CoBuyerAgentVoiceMail,VoiceMail,MemberVoiceMail,1.00,target_prefix
Property,CoBuyerAgentKey,Member,CoBuyerAgentVoiceMailExt,VoiceMailExt,MemberVoiceMailExt,1.00,target_prefix
Property,CoBuyerOfficeKey,Office,CoBuyerOfficeAOR,AOR,OfficeAOR,1.00,target_prefix
Property,CoBuyerOfficeKey,Office,CoBuyerOfficeEmail,Email,OfficeEmail,1.00,target_prefix
Property,CoBuyerOfficeKey,Office,CoBuyerOfficeFax,Fax,OfficeFax,1.00,target_prefix
Property,CoBuyerOfficeKey,Office,CoBuyerOfficeMlsId,MlsId,OfficeMlsId,1.00,target_prefix
Property,CoBuyerOfficeKey,Office,CoBuyerOfficeName,Name,OfficeName,1.00,target_prefix
Property,CoBuyerOfficeKey,Office,CoBuyerOfficePhone,Phone,OfficePhone,1.00,target_prefix
Property,CoBuyerOfficeKey,Office,CoBuyerOfficePhoneExt,PhoneExt,OfficePhoneExt,1.00,target_prefix
Property,CoBuyerOfficeKey,Office,CoBuyerOfficeURL,URL,,0.00,no_match
Property,CoListAgentKey,Member,CoListAgentAOR,AOR,MemberAOR,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentDesignation,Designation,MemberDesignation,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentDirectPhone,DirectPhone,MemberDirectPhone,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentEmail,Email,MemberEmail,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentFax,Fax,MemberFax,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentFirstName,FirstName,MemberFirstName,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentFullName,FullName,MemberFullName,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentHomePhone,HomePhone,MemberHomePhone,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentLastName,LastName,MemberLastName,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentMiddleName,MiddleName,MemberMiddleName,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentMlsId,MlsId,MemberMlsId,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentMobilePhone,MobilePhone,MemberMobilePhone,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentNamePrefix,NamePrefix,MemberNamePrefix,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentNameSuffix,NameSuffix,MemberNameSuffix,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentOfficePhone,OfficePhone,MemberOfficePhone,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentOfficePhoneExt,OfficePhoneExt,MemberOfficePhoneExt,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentPager,Pager,MemberPager,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentPreferredPhone,PreferredPhone,MemberPreferredPhone,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentPreferredPhoneExt,PreferredPhoneExt,MemberPreferredPhoneExt,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentStateLicense,StateLicense,MemberStateLicense,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentTollFreePhone,TollFreePhone,MemberTollFreePhone,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentURL,URL,,0.00,no_match
Property,CoListAgentKey,Member,CoListAgentVoiceMail,VoiceMail,MemberVoiceMail,1.00,target_prefix
Property,CoListAgentKey,Member,CoListAgentVoiceMailExt,VoiceMailExt,MemberVoiceMailExt,1.00,target_prefix
Property,CoListOfficeKey,Office,CoListOfficeAOR,AOR,OfficeAOR,1.00,target_prefix
Property,CoListOfficeKey,Office,CoListOfficeEmail,Email,OfficeEmail,1.00,target_prefix
Property,CoListOfficeKey,Office,CoListOfficeFax,Fax,OfficeFax,1.00,target_prefix
Property,CoListOfficeKey,Office,CoListOfficeMlsId,MlsId,OfficeMlsId,1.00,target_prefix
Property,CoListOfficeKey,Office,CoListOfficeName,Name,OfficeName,1.00,target_prefix
Property,CoListOfficeKey,Office,CoListOfficePhone,Phone,OfficePhone,1.00,target_prefix
Property,CoListOfficeKey,Office,CoListOfficePhoneExt,PhoneExt,OfficePhoneExt,1.00,target_prefix
Property,CoListOfficeKey,Office,CoListOfficeURL,URL,,0.00,no_match
Property,ListAgentKey,Member,ListAgentAOR,AOR,MemberAOR,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentDesignation,Designation,MemberDesignation,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentDirectPhone,DirectPhone,MemberDirectPhone,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentEmail,Email,MemberEmail,1.00,target_prefix
