host_resource,host_field,candidate_satellite,target_resource,target_field,host_simple_type,target_simple_type,host_lookup,target_lookup,type_match,simple_type_match,lookup_match
CaravanStop,StopShowingAgentKey,StopShowingAgentFirstName,Member,MemberFirstName,String,String,,,1.0,1,1
CaravanStop,StopShowingAgentKey,StopShowingAgentLastName,Member,MemberLastName,String,String,,,1.0,1,1
CaravanStop,StopShowingAgentKey,StopShowingAgentMlsId,Member,MemberMlsId,String,String,,,1.0,1,1
ContactListings,ContactKey,ContactLoginId,Contacts,ContactLoginId,String,String,,,1.0,1,1
Member,OfficeKey,OfficeMlsId,Office,OfficeMlsId,String,String,,,1.0,1,1
Member,OfficeKey,OfficeName,Office,OfficeName,String,String,,,1.0,1,1
Office,MainOfficeKey,MainOfficeMlsId,Office,OfficeMlsId,String,String,,,1.0,1,1
Office,OfficeBrokerKey,OfficeBrokerMlsId,Member,MemberMlsId,String,String,,,1.0,1,1
Office,OfficeManagerKey,OfficeManagerMlsId,Member,MemberMlsId,String,String,,,1.0,1,1
OfficeAssociation,OfficeKey,OfficeMlsId,Office,OfficeMlsId,String,String,,,1.0,1,1
OfficeCorporateLicense,OfficeKey,OfficeCorporateLicense,Office,OfficeCorporateLicense,String,String,,,1.0,1,1
OfficeCorporateLicense,OfficeKey,OfficeMlsId,Office,OfficeMlsId,String,String,,,1.0,1,1
OpenHouse,ShowingAgentKey,ShowingAgentFirstName,Member,MemberFirstName,String,String,,,1.0,1,1
OpenHouse,ShowingAgentKey,ShowingAgentLastName,Member,MemberLastName,String,String,,,1.0,1,1
OpenHouse,ShowingAgentKey,ShowingAgentMlsID,Member,MemberMlsId,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentAOR,Member,MemberAOR,"String List, Single","String List, Single",AOR,AOR,1.0,1,1
Property,BuyerAgentKey,BuyerAgentDesignation,Member,MemberDesignation,"String List, Multi","String List, Multi",BuyerAgentDesignation,MemberDesignation,0.5,1,0
Property,BuyerAgentKey,BuyerAgentDirectPhone,Member,MemberDirectPhone,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentEmail,Member,MemberEmail,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentFax,Member,MemberFax,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentFirstName,Member,MemberFirstName,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentFullName,Member,MemberFullName,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentHomePhone,Member,MemberHomePhone,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentLastName,Member,MemberLastName,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentMiddleName,Member,MemberMiddleName,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentMlsId,Member,MemberMlsId,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentMobilePhone,Member,MemberMobilePhone,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentNamePrefix,Member,MemberNamePrefix,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentNameSuffix,Member,MemberNameSuffix,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentOfficePhone,Member,MemberOfficePhone,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentOfficePhoneExt,Member,MemberOfficePhoneExt,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentPager,Member,MemberPager,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentPreferredPhone,Member,MemberPreferredPhone,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentPreferredPhoneExt,Member,MemberPreferredPhoneExt,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentStateLicense,Member,MemberStateLicense,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentTollFreePhone,Member,MemberTollFreePhone,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentVoiceMail,Member,MemberVoiceMail,String,String,,,1.0,1,1
Property,BuyerAgentKey,BuyerAgentVoiceMailExt,Member,MemberVoiceMailExt,String,String,,,1.0,1,1
Property,BuyerOfficeKey,BuyerOfficeAOR,Office,OfficeAOR,"String List, Single","String List, Single",AOR,AOR,1.0,1,1
Property,BuyerOfficeKey,BuyerOfficeEmail,Office,OfficeEmail,String,String,,,1.0,1,1
Property,BuyerOfficeKey,BuyerOfficeFax,Office,OfficeFax,String,String,,,1.0,1,1
Property,BuyerOfficeKey,BuyerOfficeMlsId,Office,OfficeMlsId,String,String,,,1.0,1,1
Property,BuyerOfficeKey,BuyerOfficeName,Office,OfficeName,String,String,,,1.0,1,1
Property,BuyerOfficeKey,BuyerOfficePhone,Office,OfficePhone,String,String,,,1.0,1,1
Property,BuyerOfficeKey,BuyerOfficePhoneExt,Office,OfficePhoneExt,String,String,,,1.0,1,1
Property,BuyerTeamKey,BuyerTeamName,Teams,TeamName,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentAOR,Member,MemberAOR,"String List, Single","String List, Single",AOR,AOR,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentDesignation,Member,MemberDesignation,"String List, Multi","String List, Multi",CoBuyerAgentDesignation,MemberDesignation,0.5,1,0
Property,CoBuyerAgentKey,CoBuyerAgentDirectPhone,Member,MemberDirectPhone,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentEmail,Member,MemberEmail,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentFax,Member,MemberFax,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentFirstName,Member,MemberFirstName,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentFullName,Member,MemberFullName,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentHomePhone,Member,MemberHomePhone,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentLastName,Member,MemberLastName,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentMiddleName,Member,MemberMiddleName,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentMlsId,Member,MemberMlsId,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentMobilePhone,Member,MemberMobilePhone,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentNamePrefix,Member,MemberNamePrefix,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentNameSuffix,Member,MemberNameSuffix,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentOfficePhone,Member,MemberOfficePhone,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentOfficePhoneExt,Member,MemberOfficePhoneExt,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentPager,Member,MemberPager,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentPreferredPhone,Member,MemberPreferredPhone,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentPreferredPhoneExt,Member,MemberPreferredPhoneExt,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentStateLicense,Member,MemberStateLicense,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentTollFreePhone,Member,MemberTollFreePhone,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentVoiceMail,Member,MemberVoiceMail,String,String,,,1.0,1,1
Property,CoBuyerAgentKey,CoBuyerAgentVoiceMailExt,Member,MemberVoiceMailExt,String,String,,,1.0,1,1
Property,CoBuyerOfficeKey,CoBuyerOfficeAOR,Office,OfficeAOR,"String List, Single","String List, Single",AOR,AOR,1.0,1,1
Property,CoBuyerOfficeKey,CoBuyerOfficeEmail,Office,OfficeEmail,String,String,,,1.0,1,1
Property,CoBuyerOfficeKey,CoBuyerOfficeFax,Office,OfficeFax,String,String,,,1.0,1,1
Property,CoBuyerOfficeKey,CoBuyerOfficeMlsId,Office,OfficeMlsId,String,String,,,1.0,1,1
Property,CoBuyerOfficeKey,CoBuyerOfficeName,Office,OfficeName,String,String,,,1.0,1,1
Property,CoBuyerOfficeKey,CoBuyerOfficePhone,Office,OfficePhone,String,String,,,1.0,1,1
Property,CoBuyerOfficeKey,CoBuyerOfficePhoneExt,Office,OfficePhoneExt,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentAOR,Member,MemberAOR,"String List, Single","String List, Single",AOR,AOR,1.0,1,1
Property,CoListAgentKey,CoListAgentDesignation,Member,MemberDesignation,"String List, Multi","String List, Multi",CoListAgentDesignation,MemberDesignation,0.5,1,0
Property,CoListAgentKey,CoListAgentDirectPhone,Member,MemberDirectPhone,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentEmail,Member,MemberEmail,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentFax,Member,MemberFax,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentFirstName,Member,MemberFirstName,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentFullName,Member,MemberFullName,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentHomePhone,Member,MemberHomePhone,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentLastName,Member,MemberLastName,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentMiddleName,Member,MemberMiddleName,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentMlsId,Member,MemberMlsId,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentMobilePhone,Member,MemberMobilePhone,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentNamePrefix,Member,MemberNamePrefix,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentNameSuffix,Member,MemberNameSuffix,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentOfficePhone,Member,MemberOfficePhone,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentOfficePhoneExt,Member,MemberOfficePhoneExt,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentPager,Member,MemberPager,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentPreferredPhone,Member,MemberPreferredPhone,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentPreferredPhoneExt,Member,MemberPreferredPhoneExt,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentStateLicense,Member,MemberStateLicense,String,String,,,1.0,1,1
Property,CoListAgentKey,CoListAgentTollFreePhone,Member,MemberTollFreePhone,String,String,,,1.0,1,1
