form,section,kind,field_label,field_type_hint,required_yn,table_index,row_index,cell_index
Commercial_Lease,ADDITIONAL INFORMATION,enum_value,Attribute,,,43,1,0
Commercial_Lease,ADDITIONAL INFORMATION,enum_value,Value,,,43,1,1
Commercial_Lease,Additional,enum_value,Commercial – Hospitality (fields are only available if the Property Subtype is Hospitality),,,37,1,0
Commercial_Lease,Additional,enum_value,Commercial – Industrial (fields are only available if the Property Subtype is Industrial),,,37,4,0
Commercial_Lease,Additional,enum_value,Sprinkler,,,37,5,2
Commercial_Lease,Additional,enum_value,Ground Level,,,37,6,2
Commercial_Lease,Additional,enum_value,Dock Height,,,37,7,0
Commercial_Lease,Additional,enum_value,Cross Docks,,,37,7,2
Commercial_Lease,Additional,enum_value,Sublease,,,37,8,1
Commercial_Lease,Additional,enum_value,Rail Access,,,37,8,2
Commercial_Lease,Additional,enum_value,Commercial – Multi-Family (fields are only available if the Property Subtype is Multi-Family),,,37,9,0
Commercial_Lease,Additional,enum_value,Commercial – Office Bldg (fields are only available if the Property Subtype is Office Bldg),,,37,11,0
Commercial_Lease,Additional,enum_value,Commercial – Retail (fields are only available if the Property Subtype is Retail),,,37,13,0
Commercial_Lease,Additional,enum_value,Commercial – Other (fields are only available if the Property Subtype is Other),,,37,15,0
Commercial_Lease,Additional,field,No. of Docks,number,no,37,2,0
Commercial_Lease,Additional,field,No of Half Bath,number,no,37,2,1
Commercial_Lease,Additional,field,No. of Conference Rooms,number,no,37,2,2
Commercial_Lease,Additional,field,Total Units,text,no,37,3,0
Commercial_Lease,Additional,field,No of Ballrooms,number,no,37,3,1
Commercial_Lease,Additional,field,Ceiling Height,text,no,37,5,1
Commercial_Lease,Additional,field,(Industrial) Power,text,no,37,6,0
Commercial_Lease,Additional,field,Column Spacing,text,no,37,6,1
Commercial_Lease,Additional,field,Turning Radius,text,no,37,7,1
Commercial_Lease,Additional,field,Clearance,text,no,37,8,0
Commercial_Lease,Additional,field,No of Full Bath,number,no,37,10,2
Commercial_Lease,Additional,field,Anchor Stores,text,no,37,14,2
Commercial_Lease,Additional details,enum_value,Contact Details,,,39,1,0
Commercial_Lease,Additional details,enum_value,Contact: Developer Municipal Tax Office Owner Property Manager Tenant Utility,,,39,2,0
Commercial_Lease,Additional details,field,First Name,text,no,39,3,0
Commercial_Lease,Additional details,field,Last Name,text,no,39,3,1
Commercial_Lease,Additional details,field,Entity Name,text,no,39,3,2
Commercial_Lease,Additional details,field,Email,text,no,39,4,0
Commercial_Lease,Additional details,field,Phone,text,no,39,4,1
Commercial_Lease,Additional details,field,Website Name,text,no,39,4,2
Commercial_Lease,Additional details,field,Address Line 1,text,no,39,5,0
Commercial_Lease,Additional details,field,Address Line 2,text,no,39,5,1
Commercial_Lease,Additional details,field,Address Line 3,text,no,39,5,2
Commercial_Lease,Additional details,field,City,text,no,39,6,0
Commercial_Lease,Additional details,field,State/Province,text,no,39,6,1
Commercial_Lease,Additional details,field,Zip/Postal Code,text,no,39,6,2
Commercial_Lease,Amenities:,enum_value,Agricultural Easement(s),,,10,1,0
Commercial_Lease,Amenities:,enum_value,Hobby Farm,,,10,1,1
Commercial_Lease,Amenities:,enum_value,Silo,,,10,1,2
Commercial_Lease,Amenities:,enum_value,Bay/Beach Club,,,10,2,0
Commercial_Lease,Amenities:,enum_value,Horse Facilities,,,10,2,1
Commercial_Lease,Amenities:,enum_value,Ski Resort,,,10,2,2
Commercial_Lease,Amenities:,enum_value,Caretaker House,,,10,3,0
Commercial_Lease,Amenities:,enum_value,Horse Ranch,,,10,3,1
Commercial_Lease,Amenities:,enum_value,Sporting Ranch,,,10,3,2
Commercial_Lease,Amenities:,enum_value,Cattle Ranch,,,10,4,0
Commercial_Lease,Amenities:,enum_value,Hunting Ranch,,,10,4,1
Commercial_Lease,Amenities:,enum_value,Stables,,,10,4,2
Commercial_Lease,Amenities:,enum_value,Conservation Easement(s),,,10,5,0
Commercial_Lease,Amenities:,enum_value,Investment Ranch,,,10,5,1
Commercial_Lease,Amenities:,enum_value,Station,,,10,5,2
Commercial_Lease,Amenities:,enum_value,Elk Ranch,,,10,6,0
Commercial_Lease,Amenities:,enum_value,Live Water,,,10,6,1
Commercial_Lease,Amenities:,enum_value,Tennis Courts,,,10,6,2
Commercial_Lease,Amenities:,enum_value,Estate Farm,,,10,7,0
Commercial_Lease,Amenities:,enum_value,Modular Sports Courts,,,10,7,1
Commercial_Lease,Amenities:,enum_value,Timberland,,,10,7,2
Commercial_Lease,Amenities:,enum_value,Estate Ranch,,,10,8,0
Commercial_Lease,Amenities:,enum_value,Outdoor Basketball Court,,,10,8,1
Commercial_Lease,Amenities:,enum_value,Walk-to-ski,,,10,8,2
Commercial_Lease,Amenities:,enum_value,Fly Fishing,,,10,9,0
Commercial_Lease,Amenities:,enum_value,Playground,,,10,9,1
Commercial_Lease,Amenities:,enum_value,Yacht Club,,,10,9,2
Commercial_Lease,Amenities:,enum_value,Guest Ranch,,,10,10,0
Commercial_Lease,Amenities:,enum_value,Recreational Ranch,,,10,10,1
Commercial_Lease,Appliances:,enum_value,Dishwasher,,,11,1,0
Commercial_Lease,Appliances:,enum_value,Garbage Disposal,,,11,1,1
Commercial_Lease,Appliances:,enum_value,Refrigerator,,,11,1,2
Commercial_Lease,Appliances:,enum_value,Double Oven,,,11,2,0
Commercial_Lease,Appliances:,enum_value,Microwave,,,11,2,1
Commercial_Lease,Appliances:,enum_value,Trash Compactor,,,11,2,2
Commercial_Lease,Appliances:,enum_value,Dryer,,,11,3,0
Commercial_Lease,Appliances:,enum_value,Range/Oven,,,11,3,1
Commercial_Lease,Appliances:,enum_value,Washer,,,11,3,2
Commercial_Lease,Area Amenities:,enum_value,Aquatic Activities,,,12,1,0
Commercial_Lease,Area Amenities:,enum_value,Area Hunting,,,12,1,1
Commercial_Lease,Area Amenities:,enum_value,Casino/Gambling,,,12,1,2
Commercial_Lease,Area Amenities:,enum_value,Area Boat Dock,,,12,2,0
Commercial_Lease,Area Amenities:,enum_value,Area Pool,,,12,2,1
Commercial_Lease,Area Amenities:,enum_value,Deep Water Mooring,,,12,2,2
Commercial_Lease,Area Amenities:,enum_value,Area Boat Ramp,,,12,3,0
Commercial_Lease,Area Amenities:,enum_value,Area Skiing,,,12,3,1
Commercial_Lease,Area Amenities:,enum_value,Golf,,,12,3,2
Commercial_Lease,Area Amenities:,enum_value,Area Climbing,,,12,4,0
Commercial_Lease,Area Amenities:,enum_value,Area Snowmobiling,,,12,4,1
Commercial_Lease,Area Amenities:,enum_value,Jogging/Biking Path,,,12,4,2
Commercial_Lease,Area Amenities:,enum_value,Area Fishing,,,12,5,0
Commercial_Lease,Area Amenities:,enum_value,Area Tennis,,,12,5,1
Commercial_Lease,Area Amenities:,enum_value,Outdoor Activities,,,12,5,2
Commercial_Lease,Area Amenities:,enum_value,Area Hiking,,,12,6,0
Commercial_Lease,Area Amenities:,enum_value,Biking,,,12,6,1
Commercial_Lease,Area Amenities:,enum_value,Area Horse Riding/Stables,,,12,7,0
Commercial_Lease,Area Amenities:,enum_value,Boating,,,12,7,1
Commercial_Lease,Area Description:,enum_value,Country Living,,,13,1,0
Commercial_Lease,Area Description:,enum_value,Green Living,,,13,1,1
Commercial_Lease,Area Description:,enum_value,Resort,,,13,1,2
Commercial_Lease,Area Description:,enum_value,Cycling,,,13,2,0
Commercial_Lease,Area Description:,enum_value,Historic/Antique,,,13,2,1
Commercial_Lease,Area Description:,enum_value,Rock Beach,,,13,2,2
Commercial_Lease,Area Description:,enum_value,Desert Living,,,13,3,0
Commercial_Lease,Area Description:,enum_value,Hunting,,,13,3,1
Commercial_Lease,Area Description:,enum_value,Sand Beach,,,13,3,2
Commercial_Lease,Area Description:,enum_value,Equestrian/Polo,,,13,4,0
Commercial_Lease,Area Description:,enum_value,Metropolitan,,,13,4,1
Commercial_Lease,Area Description:,enum_value,Ski-in/Ski-Out,,,13,4,2
Commercial_Lease,Area Description:,enum_value,Fishing,,,13,5,0
Commercial_Lease,Area Description:,enum_value,Mountain,,,13,5,1
Commercial_Lease,Area Description:,enum_value,Skiing,,,13,5,2
Commercial_Lease,Area Description:,enum_value,Flood Area,,,13,6,0
Commercial_Lease,Area Description:,enum_value,Other Beach,,,13,6,1
Commercial_Lease,Area Description:,enum_value,Suburban,,,13,6,2
Commercial_Lease,Area Description:,enum_value,Game Farm/Safari,,,13,7,0
Commercial_Lease,Area Description:,enum_value,Privacy,,,13,7,1
