host_resource,host_field,candidate_satellite,target_resource,target_field,jaccard,host_token_count,target_token_count,shared_token_count,host_def_first120,target_def_first120
CaravanStop,StopShowingAgentKey,StopShowingAgentFirstName,Member,MemberFirstName,0.500,4,2,2,The first name of the showing agent for the caravan stop.,The first name of the member.
CaravanStop,StopShowingAgentKey,StopShowingAgentLastName,Member,MemberLastName,0.500,4,2,2,The last name of the showing agent for the caravan stop.,The last name of the member.
CaravanStop,StopShowingAgentKey,StopShowingAgentMlsId,Member,MemberMlsId,1.000,12,12,12,"The local, well-known identifier for the showing agent. This value may not be unique. Specifically, in the case of aggre","The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation s"
ContactListings,ContactKey,ContactLoginId,Contacts,ContactLoginId,0.800,20,16,16,"The foreign key referring to the Contacts Resource's local, well-known identifier for the contact. This value may not be","The local, well-known identifier for the contact. This value may not be unique, specifically in the case of aggregation "
Member,OfficeKey,OfficeMlsId,Office,OfficeMlsId,1.000,12,12,12,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, and it ","The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, and it "
Member,OfficeKey,OfficeName,Office,OfficeName,1.000,3,3,3,The legal name of the brokerage.,The legal name of the brokerage.
Office,MainOfficeKey,MainOfficeMlsId,Office,OfficeMlsId,0.000,2,12,0,The OfficeMlsId of the main office in a firm/company of offices.,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, and it "
Office,OfficeBrokerKey,OfficeBrokerMlsId,Member,MemberMlsId,0.000,2,12,0,The MemberMlsId of the responsible/owning broker.,"The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation s"
Office,OfficeManagerKey,OfficeManagerMlsId,Member,MemberMlsId,0.000,2,12,0,The lead office manager for the given office.,"The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation s"
OfficeAssociation,OfficeKey,OfficeMlsId,Office,OfficeMlsId,1.000,12,12,12,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, and it ","The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, and it "
