host_resource,host_field,stem,suffix,target_resource,match_kind,target_pk_column,notes
Association,AssociationKey,Association,Key,Association,exact_stem,AssociationKey,self_referencing
Association,AssociationNationalAssociationId,AssociationNationalAssociation,Id,Association,tail_stem,AssociationKey,head=AssociationNational
Association,ExecutiveOfficerMemberKey,ExecutiveOfficerMember,Key,Member,tail_stem,MemberKey,head=ExecutiveOfficer
Caravan,CaravanKey,Caravan,Key,Caravan,exact_stem,CaravanKey,self_referencing
CaravanStop,CaravanKey,Caravan,Key,Caravan,exact_stem,CaravanKey,
CaravanStop,CaravanStopKey,CaravanStop,Key,CaravanStop,exact_stem,CaravanStopKey,self_referencing
ContactListingNotes,ContactListingNotesKey,ContactListingNotes,Key,ContactListingNotes,exact_stem,ContactListingNotesKey,self_referencing
ContactListings,ContactListingsKey,ContactListings,Key,ContactListings,exact_stem,ContactListingsKey,self_referencing
Contacts,OwnerMemberID,OwnerMember,ID,Member,tail_stem,MemberKey,head=Owner
Contacts,OwnerMemberKey,OwnerMember,Key,Member,tail_stem,MemberKey,head=Owner
Field,FieldKey,Field,Key,Field,exact_stem,FieldKey,self_referencing
HistoryTransactional,ChangedByMemberID,ChangedByMember,ID,Member,tail_stem,MemberKey,head=ChangedBy
HistoryTransactional,ChangedByMemberKey,ChangedByMember,Key,Member,tail_stem,MemberKey,head=ChangedBy
HistoryTransactional,FieldKey,Field,Key,Field,exact_stem,FieldKey,
HistoryTransactional,HistoryTransactionalKey,HistoryTransactional,Key,HistoryTransactional,exact_stem,HistoryTransactionalKey,self_referencing
InternetTrackingSummary,InternetTrackingSummaryKey,InternetTrackingSummary,Key,InternetTrackingSummary,exact_stem,InternetTrackingSummaryKey,self_referencing
LockOrBox,LockOrBoxId,LockOrBox,Id,LockOrBox,exact_stem,LockOrBoxKey,self_referencing
LockOrBox,LockOrBoxKey,LockOrBox,Key,LockOrBox,exact_stem,LockOrBoxKey,self_referencing
LockOrBox,ShowingOfficeId,ShowingOffice,Id,Office,tail_stem,OfficeKey,head=Showing
Lookup,LookupKey,Lookup,Key,Lookup,exact_stem,LookupKey,self_referencing
Media,ChangedByMemberID,ChangedByMember,ID,Member,tail_stem,MemberKey,head=ChangedBy
Media,ChangedByMemberKey,ChangedByMember,Key,Member,tail_stem,MemberKey,head=ChangedBy
Media,MediaKey,Media,Key,Media,exact_stem,MediaKey,self_referencing
Member,MemberKey,Member,Key,Member,exact_stem,MemberKey,self_referencing
Member,MemberNationalAssociationId,MemberNationalAssociation,Id,Association,tail_stem,AssociationKey,head=MemberNational
Member,OfficeKey,Office,Key,Office,exact_stem,OfficeKey,
Member,OfficeNationalAssociationId,OfficeNationalAssociation,Id,Association,tail_stem,AssociationKey,head=OfficeNational
MemberAssociation,AssociationKey,Association,Key,Association,exact_stem,AssociationKey,
MemberAssociation,AssociationNationalAssociationId,AssociationNationalAssociation,Id,Association,tail_stem,AssociationKey,head=AssociationNational
MemberAssociation,MemberKey,Member,Key,Member,exact_stem,MemberKey,
MemberAssociation,OriginatingSystemMemberKey,OriginatingSystemMember,Key,Member,tail_stem,MemberKey,head=OriginatingSystem
MemberAssociation,SourceSystemMemberKey,SourceSystemMember,Key,Member,tail_stem,MemberKey,head=SourceSystem
MemberStateLicense,MemberKey,Member,Key,Member,exact_stem,MemberKey,
MemberStateLicense,MemberStateLicenseKey,MemberStateLicense,Key,MemberStateLicense,exact_stem,MemberStateLicenseKey,self_referencing
OUID,ChangedByMemberID,ChangedByMember,ID,Member,tail_stem,MemberKey,head=ChangedBy
