host_resource,host_field,signal_kind,target_resource,source_resource_cell,lookup_cell,target_resource_known,notes
Association,AssociationMember,resource_typed,Member,Member,,1,
Association,AssociationSocialMedia,collection_typed,SocialMedia,SocialMedia,,1,
Association,HistoryTransactional,collection_typed,HistoryTransactional,HistoryTransactional,,1,
Association,OriginatingSystem,resource_typed,OUID,OUID,,1,
Association,SourceSystem,resource_typed,OUID,OUID,,1,
ContactListingNotes,Contact,resource_typed,Contacts,Contacts,,1,
ContactListingNotes,HistoryTransactional,collection_typed,HistoryTransactional,HistoryTransactional,,1,
ContactListingNotes,Listing,resource_typed,Property,Property,,1,
ContactListings,Contact,resource_typed,Contacts,Contacts,,1,
ContactListings,HistoryTransactional,collection_typed,HistoryTransactional,HistoryTransactional,,1,
ContactListings,Listing,resource_typed,Property,Property,,1,
ContactListings,ListingNotes,collection_typed,ContactListingNotes,ContactListingNotes,,1,
Contacts,ContactsOtherPhone,collection_typed,OtherPhone,OtherPhone,,1,
Contacts,ContactsSocialMedia,collection_typed,SocialMedia,SocialMedia,,1,
Contacts,HistoryTransactional,collection_typed,HistoryTransactional,HistoryTransactional,,1,
Contacts,Media,collection_typed,Media,Media,,1,
Contacts,OriginatingSystem,resource_typed,OUID,OUID,,1,
Contacts,OwnerMember,resource_typed,Member,Member,,1,
Contacts,SourceSystem,resource_typed,OUID,OUID,,1,
HistoryTransactional,ChangedByMember,resource_typed,,,,0,source_resource_missing
HistoryTransactional,OriginatingSystem,resource_typed,,,,0,source_resource_missing
HistoryTransactional,SourceSystem,resource_typed,,,,0,source_resource_missing
InternetTracking,ActorOriginatingSystem,resource_typed,OUID,OUID,,1,
InternetTracking,ActorSourceSystem,resource_typed,OUID,OUID,,1,
InternetTracking,EventOriginatingSystem,resource_typed,OUID,OUID,,1,
InternetTracking,EventSourceSystem,resource_typed,OUID,OUID,,1,
InternetTracking,ObjectOriginatingSystem,resource_typed,OUID,OUID,,1,
InternetTracking,ObjectSourceSystem,resource_typed,OUID,OUID,,1,
LockOrBox,HistoryTransactional,collection_typed,HistoryTransactional,HistoryTransactional,,1,
LockOrBox,OriginatingSystem,resource_typed,OUID,OUID,,1,
LockOrBox,ShowingAgent,resource_typed,Member,Member,,1,
LockOrBox,ShowingOffice,resource_typed,Office,Office,,1,
LockOrBox,SourceSystem,resource_typed,OUID,OUID,,1,
Media,ChangedByMember,resource_typed,Member,Member,,1,
Media,HistoryTransactional,collection_typed,HistoryTransactional,HistoryTransactional,,1,
Media,OriginatingSystem,resource_typed,OUID,OUID,,1,
Media,SourceSystem,resource_typed,OUID,OUID,,1,
Member,HistoryTransactional,collection_typed,HistoryTransactional,HistoryTransactional,,1,
Member,Media,collection_typed,Media,Media,,1,
Member,MemberOtherPhone,collection_typed,OtherPhone,OtherPhone,,1,
Member,MemberSocialMedia,collection_typed,SocialMedia,SocialMedia,,1,
Member,Office,resource_typed,Office,Office,,1,
Member,OriginatingSystem,resource_typed,OUID,OUID,,1,
Member,SourceSystem,resource_typed,OUID,OUID,,1,
