ResourceName,StandardName,Definition,SourceURL
Association,AssociationAddress1,"The street number, direction, name and suffix of the association.",https://dd.reso.org/DD2.0/Association/AssociationAddress1/
Association,AssociationAddress2,The unit/suite number of the association.,https://dd.reso.org/DD2.0/Association/AssociationAddress2/
Association,AssociationCareOf,The care of (c/o) information for the association's street address.,https://dd.reso.org/DD2.0/Association/AssociationCareOf/
Association,AssociationCharterDate,The charter date for the association.,https://dd.reso.org/DD2.0/Association/AssociationCharterDate/
Association,AssociationCity,The city where the association is located.,https://dd.reso.org/DD2.0/Association/AssociationCity/
Association,AssociationCountry,The association's country code for the street address.,https://dd.reso.org/DD2.0/Association/AssociationCountry/
Association,AssociationCountyOrParish,The association's county of the street address.,https://dd.reso.org/DD2.0/Association/AssociationCountyOrParish/
Association,AssociationFax,The North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.,https://dd.reso.org/DD2.0/Association/AssociationFax/
Association,AssociationKey,The unique identifier for the association record.,https://dd.reso.org/DD2.0/Association/AssociationKey/
Association,AssociationMailAddress1,"The street number, direction, name and suffix of the association's mailing address.",https://dd.reso.org/DD2.0/Association/AssociationMailAddress1/
Association,AssociationMailAddress2,The unit/suite number of the association's mailing address.,https://dd.reso.org/DD2.0/Association/AssociationMailAddress2/
Association,AssociationMailCareOf,The care of (c/o) information for the association's mailing address.,https://dd.reso.org/DD2.0/Association/AssociationMailCareOf/
Association,AssociationMailCity,The city in which the association's mail is received.,https://dd.reso.org/DD2.0/Association/AssociationMailCity/
Association,AssociationMailCountry,The country code for the association's mailing address.,https://dd.reso.org/DD2.0/Association/AssociationMailCountry/
Association,AssociationMailCountyOrParish,The county in which the association's mailing address is located.,https://dd.reso.org/DD2.0/Association/AssociationMailCountyOrParish/
Association,AssociationMailPostalCode,The postal code in which the association's mail is received.,https://dd.reso.org/DD2.0/Association/AssociationMailPostalCode/
Association,AssociationMailPostalCodePlus4,The four-digit extension of the U.S. Zip Code for the association's mailing address.,https://dd.reso.org/DD2.0/Association/AssociationMailPostalCodePlus4/
Association,AssociationMailStateOfProvince,The state or province in which the association's mail is received.,https://dd.reso.org/DD2.0/Association/AssociationMailStateOfProvince/
Association,AssociationMember,The member of the association.,https://dd.reso.org/DD2.0/Association/AssociationMember/
Association,AssociationMlsId,"The local, well-known identifier for the association of REALTORS®. This value may not be unique, specifically in the case of aggregation systems, and it should be the identifier from the original system.",https://dd.reso.org/DD2.0/Association/AssociationMlsId/
