Resource,Field,StandardName,DisplayName,Group,DataType,MaxLength,MaxPrecision,Synonyms,FieldStatus,BEDES,Lookup,LookupStatus,PropertyTypes,Payloads,SpanishName,FrenchCanadianName,StatusChangeDate,RevisionDate,AddedInVersion,SourceResource,OrgPct,OrgAdopted,OrgTotal,SourceUrl,FetchedAt
Association,AssociationAddress1,AssociationAddress1,Association Address 1,,String,50,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationAddress1/,2026-05-04T15:53:39Z
Association,AssociationAddress2,AssociationAddress2,Association Address 2,,String,50,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationAddress2/,2026-05-04T15:53:39Z
Association,AssociationCareOf,AssociationCareOf,Association Care Of,,String,30,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationCareOf/,2026-05-04T15:53:39Z
Association,AssociationCharterDate,AssociationCharterDate,Association Charter Date,,Date,10,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationCharterDate/,2026-05-04T15:53:39Z
Association,AssociationCity,AssociationCity,Association City,,String,50,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationCity/,2026-05-04T15:53:39Z
Association,AssociationCountry,AssociationCountry,Association Country,,"String List, Single",2,,,Active,,Country,Open with Enumerations,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationCountry/,2026-05-04T15:53:39Z
Association,AssociationCountyOrParish,AssociationCountyOrParish,Association County or Parish,,"String List, Single",50,,,Active,,CountyOrParish,Open,,AMS,,,7/25/2019,8/5/2024,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationCountyOrParish/,2026-05-04T15:53:39Z
Association,AssociationFax,AssociationFax,Association Fax,,String,16,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationFax/,2026-05-04T15:53:39Z
Association,AssociationKey,AssociationKey,Association Key,,String,255,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0,1,344,https://dd.reso.org/DD2.0/Association/AssociationKey/,2026-05-04T15:53:39Z
Association,AssociationMailAddress1,AssociationMailAddress1,Association Mail Address 1,,String,50,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationMailAddress1/,2026-05-04T15:53:39Z
Association,AssociationMailAddress2,AssociationMailAddress2,Association Mail Address 2,,String,50,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationMailAddress2/,2026-05-04T15:53:39Z
Association,AssociationMailCareOf,AssociationMailCareOf,Association Mail Care Of,,String,30,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationMailCareOf/,2026-05-04T15:53:39Z
Association,AssociationMailCity,AssociationMailCity,Association Mail City,,String,50,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationMailCity/,2026-05-04T15:53:39Z
Association,AssociationMailCountry,AssociationMailCountry,Association Mail Country,,"String List, Single",2,,,Active,,Country,Open with Enumerations,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationMailCountry/,2026-05-04T15:53:40Z
Association,AssociationMailCountyOrParish,AssociationMailCountyOrParish,Association Mail County or Parish,,"String List, Single",50,,,Active,,CountyOrParish,Open,,AMS,,,7/25/2019,8/5/2024,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationMailCountyOrParish/,2026-05-04T15:53:39Z
Association,AssociationMailPostalCode,AssociationMailPostalCode,Association Mail Postal Code,,String,10,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationMailPostalCode/,2026-05-04T15:53:39Z
Association,AssociationMailPostalCodePlus4,AssociationMailPostalCodePlus4,Association Mail Postal Code Plus 4,,String,4,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationMailPostalCodePlus4/,2026-05-04T15:53:40Z
Association,AssociationMailStateOfProvince,AssociationMailStateOfProvince,Association Mail State or Province,,"String List, Single",2,,,Active,,StateOrProvince,Open with Enumerations,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationMailStateOfProvince/,2026-05-04T15:53:40Z
