ResourceName,StandardName,DisplayName,Group,SimpleDataType,MaxLength,MaxPrecision,Synonyms,Status,BEDES,LookupStatus,Lookup,PropertyTypes,Payloads,SpanishName,FrenchCanadianName,StatusChangeDate,RevisedDate,AddedInVersion,SourceResource,AdoptionPercent,AdoptionAdopted,AdoptionTotal,SourceURL
Association,AssociationAddress1,Association Address 1,,String,50,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationAddress1/
Association,AssociationAddress2,Association Address 2,,String,50,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationAddress2/
Association,AssociationCareOf,Association Care Of,,String,30,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationCareOf/
Association,AssociationCharterDate,Association Charter Date,,Date,10,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationCharterDate/
Association,AssociationCity,Association City,,String,50,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationCity/
Association,AssociationCountry,Association Country,,"String List, Single",2,,,Active,,Open with Enumerations,Country,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationCountry/
Association,AssociationCountyOrParish,Association County or Parish,,"String List, Single",50,,,Active,,Open,CountyOrParish,,AMS,,,7/25/2019,8/5/2024,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationCountyOrParish/
Association,AssociationFax,Association Fax,,String,16,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationFax/
Association,AssociationKey,Association Key,,String,255,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,1,344,https://dd.reso.org/DD2.0/Association/AssociationKey/
Association,AssociationMailAddress1,Association Mail Address 1,,String,50,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationMailAddress1/
Association,AssociationMailAddress2,Association Mail Address 2,,String,50,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationMailAddress2/
Association,AssociationMailCareOf,Association Mail Care Of,,String,30,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationMailCareOf/
Association,AssociationMailCity,Association Mail City,,String,50,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationMailCity/
Association,AssociationMailCountry,Association Mail Country,,"String List, Single",2,,,Active,,Open with Enumerations,Country,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationMailCountry/
Association,AssociationMailCountyOrParish,Association Mail County or Parish,,"String List, Single",50,,,Active,,Open,CountyOrParish,,AMS,,,7/25/2019,8/5/2024,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationMailCountyOrParish/
Association,AssociationMailPostalCode,Association Mail Postal Code,,String,10,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationMailPostalCode/
Association,AssociationMailPostalCodePlus4,Association Mail Postal Code Plus 4,,String,4,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationMailPostalCodePlus4/
Association,AssociationMailStateOfProvince,Association Mail State or Province,,"String List, Single",2,,,Active,,Open with Enumerations,StateOrProvince,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationMailStateOfProvince/
Association,AssociationMember,Association Member,,Resource,,,,Active,,,,,AMS,,,4/4/2023,4/4/2023,2.0.0,Member,0%,,,https://dd.reso.org/DD2.0/Association/AssociationMember/
Association,AssociationMlsId,Association MLS ID,,String,25,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationMlsId/
Association,AssociationName,Association Name,,String,255,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,1,344,https://dd.reso.org/DD2.0/Association/AssociationName/
Association,AssociationNationalAssociationId,Association National Association ID,,String,25,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationNationalAssociationId/
Association,AssociationPhone,Association Phone,,String,16,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationPhone/
Association,AssociationPostalCode,Association Postal Code,,String,10,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationPostalCode/
Association,AssociationPostalCodePlus4,Association Postal Code Plus 4,,String,4,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationPostalCodePlus4/
Association,AssociationSocialMedia,Association Social Media,,Collection,,,,Active,,,,,AMS,,,4/4/2023,4/4/2023,2.0.0,SocialMedia,0%,,,https://dd.reso.org/DD2.0/Association/AssociationSocialMedia/
Association,AssociationStateOrProvince,Association State or Province,,"String List, Single",2,,,Active,,Open with Enumerations,StateOrProvince,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationStateOrProvince/
Association,AssociationStatus,Association Status,,"String List, Single",25,,,Active,,Open with Enumerations,AssociationStatus,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationStatus/
Association,AssociationType,Association Type,,"String List, Single",50,,,Active,,Open with Enumerations,AssociationType,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/AssociationType/
Association,ExecutiveOfficerMemberKey,Executive Officer Member Key,,String,255,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/ExecutiveOfficerMemberKey/
Association,ExecutiveOfficerMemberMlsId,Executive Officer Member MLS ID,,String,25,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/ExecutiveOfficerMemberMlsId/
Association,HistoryTransactional,History Transactional,,Collection,,,,Active,,,,,AMS,,,4/4/2023,4/4/2023,2.0.0,HistoryTransactional,0%,,,https://dd.reso.org/DD2.0/Association/HistoryTransactional/
Association,ModificationTimestamp,Modification Timestamp,,Timestamp,27,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,1,344,https://dd.reso.org/DD2.0/Association/ModificationTimestamp/
Association,MultipleListingServiceId,Multiple Listing Service ID,,String,25,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/MultipleListingServiceId/
Association,OriginalEntryTimestamp,Original Entry Timestamp,,Timestamp,27,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,1,344,https://dd.reso.org/DD2.0/Association/OriginalEntryTimestamp/
Association,OriginatingSystem,Originating System,,Resource,,,,Active,,,,,AMS,,,4/4/2023,4/4/2023,2.0.0,OUID,0%,,,https://dd.reso.org/DD2.0/Association/OriginatingSystem/
Association,OriginatingSystemAssociationKey,Originating System Association Key,,String,255,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,1,344,https://dd.reso.org/DD2.0/Association/OriginatingSystemAssociationKey/
Association,OriginatingSystemId,Originating System ID,,String,25,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,1,344,https://dd.reso.org/DD2.0/Association/OriginatingSystemId/
Association,OriginatingSystemName,Originating System Name,,String,255,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,1,344,https://dd.reso.org/DD2.0/Association/OriginatingSystemName/
Association,SocialMediaType,Social Media Type,,"String List, Single",25,,,Active,,Open with Enumerations,SocialMediaType,,AMS,,,7/25/2019,4/11/2022,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/SocialMediaType/
Association,SocialMediaUrlOrId,Social Media Type URL or ID,,String,8000,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/SocialMediaUrlOrId/
Association,SourceSystem,Source System,,Resource,,,,Active,,,,,AMS,,,4/4/2023,4/4/2023,2.0.0,OUID,0%,,,https://dd.reso.org/DD2.0/Association/SourceSystem/
Association,SourceSystemAssociationKey,Source System Association Key,,String,255,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,1,344,https://dd.reso.org/DD2.0/Association/SourceSystemAssociationKey/
Association,SourceSystemId,Source System ID,,String,25,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/SourceSystemId/
Association,SourceSystemName,Source System Name,,String,255,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Association/SourceSystemName/
Caravan,CancellationPolicyUrl,Cancellation Policy URL,,String,8000,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CancellationPolicyUrl/
Caravan,CaravanAllowedClassNames,Caravan Allowed Class Names,,"String List, Multi",50,,,Active,,Open with Enumerations,CaravanAllowedClassNames,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanAllowedClassNames/
Caravan,CaravanAllowedStatuses,Caravan Allowed Statuses,,"String List, Multi",50,,,Active,,Open with Enumerations,CaravanAllowedStatuses,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanAllowedStatuses/
Caravan,CaravanAreaDescription,Caravan Area Description,,String,1024,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanAreaDescription/
Caravan,CaravanBlackoutDates,Caravan Blackout Dates,,String,1024,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanBlackoutDates/
Caravan,CaravanDate,Caravan Date,,Date,10,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanDate/
Caravan,CaravanDaysRecurring,Caravan Days Recurring,,String,50,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanDaysRecurring/
Caravan,CaravanEndTime,Caravan End Time,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanEndTime/
Caravan,CaravanInputDeadlineDescription,Caravan Input Deadline Description,,String,50,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanInputDeadlineDescription/
Caravan,CaravanInputDeadlineTimestamp,Caravan Input Deadline Timestamp,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanInputDeadlineTimestamp/
Caravan,CaravanKey,Caravan Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanKey/
Caravan,CaravanName,Caravan Name,,String,50,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanName/
Caravan,CaravanOrganizerContactInfo,Caravan Organizer Contact Info,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerContactInfo/
Caravan,CaravanOrganizerKey,Caravan Organizer Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerKey/
Caravan,CaravanOrganizerMlsId,Caravan Organizer MLS ID,,String,25,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerMlsId/
Caravan,CaravanOrganizerName,Caravan Organizer Name,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerName/
Caravan,CaravanOrganizerResourceName,Caravan Organizer Resource Name,,"String List, Single",255,,,Active,,Open with Enumerations,CaravanResourceName,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerResourceName/
Caravan,CaravanPolicyUrl,Caravan Policy URL,,String,8000,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanPolicyUrl/
Caravan,CaravanRemarks,Caravan Remarks,,String,500,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanRemarks/
Caravan,CaravanStartLocation,Caravan Start Location,,String,50,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanStartLocation/
Caravan,CaravanStartLocationGiveaways,Caravan Start Location Giveaways,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanStartLocationGiveaways/
Caravan,CaravanStartLocationRefreshments,Caravan Start Location Refreshments,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanStartLocationRefreshments/
Caravan,CaravanStartTime,Caravan Start Time,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanStartTime/
Caravan,CaravanStatus,Caravan Status,,"String List, Single",25,,,Active,,Open with Enumerations,CaravanStatus,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanStatus/
Caravan,CaravanType,Caravan Type,,"String List, Single",25,,,Active,,Open with Enumerations,CaravanType,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/CaravanType/
Caravan,ModificationTimestamp,Modification Timestamp,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/ModificationTimestamp/
Caravan,OriginalEntryTimestamp,Original Entry Timestamp,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/OriginalEntryTimestamp/
Caravan,OriginatingSystemId,Originating System ID,,String,25,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/OriginatingSystemId/
Caravan,OriginatingSystemKey,Originating System Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/OriginatingSystemKey/
Caravan,OriginatingSystemName,Originating System Name,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/OriginatingSystemName/
Caravan,SourceSystemId,Source System ID,,String,25,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/SourceSystemId/
Caravan,SourceSystemKey,Source System Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/SourceSystemKey/
Caravan,SourceSystemName,Source System Name,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/Caravan/SourceSystemName/
CaravanStop,CaravanKey,Caravan Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/CaravanStop/CaravanKey/
CaravanStop,CaravanStopKey,Caravan Stop Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/CaravanStop/CaravanStopKey/
CaravanStop,ModificationTimestamp,Modification Timestamp,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/CaravanStop/ModificationTimestamp/
CaravanStop,OriginalEntryTimestamp,Original Entry Timestamp,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/CaravanStop/OriginalEntryTimestamp/
CaravanStop,OriginatingSystemId,Originating System ID,,String,25,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/CaravanStop/OriginatingSystemId/
CaravanStop,OriginatingSystemKey,Originating System Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/CaravanStop/OriginatingSystemKey/
CaravanStop,OriginatingSystemName,Originating System Name,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/CaravanStop/OriginatingSystemName/
CaravanStop,SourceSystemId,Source System ID,,String,25,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/CaravanStop/SourceSystemId/
CaravanStop,SourceSystemKey,Source System Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/CaravanStop/SourceSystemKey/
CaravanStop,SourceSystemName,Source System Name,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/CaravanStop/SourceSystemName/
CaravanStop,StopAttendedBy,Stop Attended By,,"String List, Single",25,,,Active,,Open with Enumerations,CaravanStopAttended,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/CaravanStop/StopAttendedBy/
CaravanStop,StopClassName,Stop Class Name,,"String List, Single",50,,,Active,,Open with Enumerations,CaravanStopClassName,,,,,2/3/2021,2/3/2021,2.0.0,,0%,,,https://dd.reso.org/DD2.0/CaravanStop/StopClassName/
