LookupName,ValueCount,UsedByCount,UsedByJson,FetchedAt,Source,SourceUrl
AccessibilityFeatures,35,1,"[{""Resource"":""Property"",""Field"":""AccessibilityFeatures"",""DisplayName"":""Accessibility Features"",""Usage"":""73%""}]",2026-05-04T15:52:52Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/AccessibilityFeatures/
ActorType,5,1,"[{""Resource"":""InternetTracking"",""Field"":""ActorType"",""DisplayName"":""Actor Type"",""Usage"":""—""}]",2026-05-04T15:52:52Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ActorType/
Appliances,75,1,"[{""Resource"":""Property"",""Field"":""Appliances"",""DisplayName"":""Appliances"",""Usage"":""89%""}]",2026-05-04T15:52:52Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Appliances/
ArchitecturalStyle,44,1,"[{""Resource"":""Property"",""Field"":""ArchitecturalStyle"",""DisplayName"":""Architectural Style"",""Usage"":""90%""}]",2026-05-04T15:52:52Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ArchitecturalStyle/
AreaSource,9,8,"[{""Resource"":""Property"",""Field"":""AboveGradeFinishedAreaSource"",""DisplayName"":""Above Grade Finished Area Source"",""Usage"":""9%""},{""Resource"":""Property"",""Field"":""AboveGradeUnfinishedAreaSource"",""DisplayName"":""Above Grade Unfinished Area Source"",""Usage"":""0%""},{""Resource"":""Property"",""Field"":""BelowGradeFinishedAreaSource"",""DisplayName"":""Below Grade Finished Area Source"",""Usage"":""8%""},{""Resource"":""Property"",""Field"":""BelowGradeUnfinishedAreaSource"",""DisplayName"":""Below Grade Unfinished Area Source"",""Usage"":""0%""},{""Resource"":""Property"",""Field"":""BuildingAreaSource"",""DisplayName"":""Building Area Source"",""Usage"":""47%""},{""Resource"":""Property"",""Field"":""FarmLandAreaSource"",""DisplayName"":""Farm Land Area Source"",""Usage"":""1%""},{""Resource"":""Property"",""Field"":""LivingAreaSource"",""DisplayName"":""Living Area Source"",""Usage"":""51%""},{""Resource"":""PropertyRooms"",""Field"":""RoomAreaSource"",""DisplayName"":""Room Area Source"",""Usage"":""1%""}]",2026-05-04T15:52:52Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/AreaSource/
AreaUnits,2,9,"[{""Resource"":""Property"",""Field"":""AboveGradeFinishedAreaUnits"",""DisplayName"":""Above Grade Finished Area Units"",""Usage"":""12%""},{""Resource"":""Property"",""Field"":""AboveGradeUnfinishedAreaUnits"",""DisplayName"":""Above Grade Unfinished Area Units"",""Usage"":""1%""},{""Resource"":""Property"",""Field"":""BelowGradeFinishedAreaUnits"",""DisplayName"":""Below Grade Finished Area Units"",""Usage"":""15%""},{""Resource"":""Property"",""Field"":""BelowGradeUnfinishedAreaUnits"",""DisplayName"":""Below Grade Unfinished Area Units"",""Usage"":""1%""},{""Resource"":""Property"",""Field"":""BuildingAreaUnits"",""DisplayName"":""Building Area Units"",""Usage"":""40%""},{""Resource"":""Property"",""Field"":""FarmLandAreaUnits"",""DisplayName"":""Farm Land Area Units"",""Usage"":""11%""},{""Resource"":""Property"",""Field"":""LeasableAreaUnits"",""DisplayName"":""Leasable Area Units"",""Usage"":""9%""},{""Resource"":""Property"",""Field"":""LivingAreaUnits"",""DisplayName"":""Living Area Units"",""Usage"":""39%""},{""Resource"":""PropertyRooms"",""Field"":""RoomAreaUnits"",""DisplayName"":""Room Area Units"",""Usage"":""4%""}]",2026-05-04T15:52:52Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/AreaUnits/
AssociationAmenities,76,1,"[{""Resource"":""Property"",""Field"":""AssociationAmenities"",""DisplayName"":""Association Amenities"",""Usage"":""56%""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/AssociationAmenities/
AssociationFeeIncludes,15,1,"[{""Resource"":""Property"",""Field"":""AssociationFeeIncludes"",""DisplayName"":""Association Fee Includes"",""Usage"":""59%""}]",2026-05-04T15:52:52Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/AssociationFeeIncludes/
AssociationStatus,2,1,"[{""Resource"":""Association"",""Field"":""AssociationStatus"",""DisplayName"":""Association Status"",""Usage"":""—""}]",2026-05-04T15:52:52Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/AssociationStatus/
AssociationType,3,1,"[{""Resource"":""Association"",""Field"":""AssociationType"",""DisplayName"":""Association Type"",""Usage"":""—""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/AssociationType/
