LookupName,Description,ValueCount,UsedByCount,SourceURL
AOR,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,13,https://dd.reso.org/DD2.0/lookups/AOR/
AccessibilityFeatures,,35,1,https://dd.reso.org/DD2.0/lookups/AccessibilityFeatures/
ActorType,,5,1,https://dd.reso.org/DD2.0/lookups/ActorType/
Appliances,,75,1,https://dd.reso.org/DD2.0/lookups/Appliances/
ArchitecturalStyle,,44,1,https://dd.reso.org/DD2.0/lookups/ArchitecturalStyle/
AreaSource,,9,8,https://dd.reso.org/DD2.0/lookups/AreaSource/
AreaUnits,,2,9,https://dd.reso.org/DD2.0/lookups/AreaUnits/
AssociationAmenities,,76,1,https://dd.reso.org/DD2.0/lookups/AssociationAmenities/
AssociationFeeIncludes,,15,1,https://dd.reso.org/DD2.0/lookups/AssociationFeeIncludes/
AssociationStatus,,2,1,https://dd.reso.org/DD2.0/lookups/AssociationStatus/
AssociationType,,3,1,https://dd.reso.org/DD2.0/lookups/AssociationType/
Attended,,3,1,https://dd.reso.org/DD2.0/lookups/Attended/
Basement,,24,1,https://dd.reso.org/DD2.0/lookups/Basement/
BillingPreference,,3,1,https://dd.reso.org/DD2.0/lookups/BillingPreference/
BodyType,,7,1,https://dd.reso.org/DD2.0/lookups/BodyType/
BuildingFeatures,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/BuildingFeatures/
BusinessType,,109,1,https://dd.reso.org/DD2.0/lookups/BusinessType/
BuyerAgentDesignation,,27,1,https://dd.reso.org/DD2.0/lookups/BuyerAgentDesignation/
BuyerFinancing,,13,1,https://dd.reso.org/DD2.0/lookups/BuyerFinancing/
CaravanAllowedClassNames,,9,1,https://dd.reso.org/DD2.0/lookups/CaravanAllowedClassNames/
CaravanAllowedStatuses,,3,1,https://dd.reso.org/DD2.0/lookups/CaravanAllowedStatuses/
CaravanResourceName,,7,2,https://dd.reso.org/DD2.0/lookups/CaravanResourceName/
CaravanStatus,,3,1,https://dd.reso.org/DD2.0/lookups/CaravanStatus/
CaravanStopAttended,,3,1,https://dd.reso.org/DD2.0/lookups/CaravanStopAttended/
CaravanStopClassName,,9,1,https://dd.reso.org/DD2.0/lookups/CaravanStopClassName/
CaravanType,,3,1,https://dd.reso.org/DD2.0/lookups/CaravanType/
ChangeType,,13,2,https://dd.reso.org/DD2.0/lookups/ChangeType/
City,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/City/
ClassName,,17,8,https://dd.reso.org/DD2.0/lookups/ClassName/
ClosetType,,3,1,https://dd.reso.org/DD2.0/lookups/ClosetType/
CoBuyerAgentDesignation,,27,1,https://dd.reso.org/DD2.0/lookups/CoBuyerAgentDesignation/
CoListAgentDesignation,,27,1,https://dd.reso.org/DD2.0/lookups/CoListAgentDesignation/
CommonInterest,,6,1,https://dd.reso.org/DD2.0/lookups/CommonInterest/
CommonWalls,,6,1,https://dd.reso.org/DD2.0/lookups/CommonWalls/
CommunityFeatures,,21,1,https://dd.reso.org/DD2.0/lookups/CommunityFeatures/
CompensationType,,4,3,https://dd.reso.org/DD2.0/lookups/CompensationType/
Concessions,,3,1,https://dd.reso.org/DD2.0/lookups/Concessions/
ConstructionMaterials,,54,1,https://dd.reso.org/DD2.0/lookups/ConstructionMaterials/
ContactListingPreference,,3,1,https://dd.reso.org/DD2.0/lookups/ContactListingPreference/
ContactStatus,,4,1,https://dd.reso.org/DD2.0/lookups/ContactStatus/
ContactType,,22,1,https://dd.reso.org/DD2.0/lookups/ContactType/
Cooling,,24,1,https://dd.reso.org/DD2.0/lookups/Cooling/
Country,,246,12,https://dd.reso.org/DD2.0/lookups/Country/
CountyOrParish,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,11,https://dd.reso.org/DD2.0/lookups/CountyOrParish/
CurrentFinancing,,15,1,https://dd.reso.org/DD2.0/lookups/CurrentFinancing/
CurrentOrPossibleUse,,43,2,https://dd.reso.org/DD2.0/lookups/CurrentOrPossibleUse/
DailySchedule,,15,1,https://dd.reso.org/DD2.0/lookups/DailySchedule/
DevelopmentStatus,,10,1,https://dd.reso.org/DD2.0/lookups/DevelopmentStatus/
DeviceType,,5,1,https://dd.reso.org/DD2.0/lookups/DeviceType/
DirectionFaces,,8,1,https://dd.reso.org/DD2.0/lookups/DirectionFaces/
Disclosures,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/Disclosures/
DocumentStatus,,16,1,https://dd.reso.org/DD2.0/lookups/DocumentStatus/
DocumentsAvailable,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/DocumentsAvailable/
DoorFeatures,,5,1,https://dd.reso.org/DD2.0/lookups/DoorFeatures/
Electric,,18,1,https://dd.reso.org/DD2.0/lookups/Electric/
