host_resource,host_field,host_field_type,target_resource,target_field,fk_kind,confidence,evidence,notes
Association,AssociationMember,Resource,Member,MemberKey,resource_typed,medium,type:resource_typed:SourceResource=Member,
Association,AssociationNationalAssociationId,String,Association,AssociationKey,name_shape,low,name:tail_stem:AssociationNationalAssociation->Association,
Association,AssociationSocialMedia,Collection,SocialMedia,SocialMediaKey,collection_typed,medium,type:collection_typed:SourceResource=SocialMedia,inverse_one_to_many
Association,ExecutiveOfficerMemberKey,String,Member,MemberKey,name_shape,low,name:tail_stem:ExecutiveOfficerMember->Member,
Association,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
Association,OriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Association,SourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
CaravanStop,CaravanKey,String,Caravan,CaravanKey,prose,high,"prose:P3b:""foreign key referencing the primary key of the Caravan Resource"" | name:exact_stem:Caravan->Caravan",
CaravanStop,StopKey,String,CaravanStop,,prose,medium,"prose:P3:""foreign key to the CaravanStop Resource""",
CaravanStop,StopShowingAgentKey,String,Member,MemberKey,prose,medium,"prose:P2:""foreign key relating to the MemberKey of the Member Resource""",
ContactListingNotes,Contact,Resource,Contacts,,resource_typed,medium,type:resource_typed:SourceResource=Contacts,
ContactListingNotes,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
ContactListingNotes,Listing,Resource,Property,,resource_typed,medium,type:resource_typed:SourceResource=Property,
ContactListings,Contact,Resource,Contacts,,resource_typed,medium,type:resource_typed:SourceResource=Contacts,
ContactListings,ContactKey,String,Contacts,,prose,medium,"prose:P3:""foreign key relating to the Contacts Resource""",
ContactListings,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
ContactListings,Listing,Resource,Property,,resource_typed,medium,type:resource_typed:SourceResource=Property,
ContactListings,ListingNotes,Collection,ContactListingNotes,ContactListingNotesKey,collection_typed,medium,type:collection_typed:SourceResource=ContactListingNotes,inverse_one_to_many
Contacts,ContactsOtherPhone,Collection,OtherPhone,OtherPhoneKey,collection_typed,medium,type:collection_typed:SourceResource=OtherPhone,inverse_one_to_many
Contacts,ContactsSocialMedia,Collection,SocialMedia,SocialMediaKey,collection_typed,medium,type:collection_typed:SourceResource=SocialMedia,inverse_one_to_many
