Resource,EntityName,FieldCount,Definition,LastRevised,FetchedAt,Source,SourceUrl
Association,association,45,Fields pertaining to the local real estate trade association.,8/5/2024,2026-05-04T15:51:34Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/Association/
Caravan,caravan,33,"Fields and lookups for the date, time, location and other particulars about caravan events.",2/3/2021,2026-05-04T15:51:35Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/Caravan/
CaravanStop,caravanstop,25,"Stops along a caravan tour, connecting Caravan records to Open House records.",2/3/2021,2026-05-04T15:51:35Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/CaravanStop/
ContactListingNotes,contactlistingnotes,10,Notes about a given listing from interactions between the contact and member within a consumer portal.,5/24/2017,2026-05-04T15:51:35Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/ContactListingNotes/
ContactListings,contactlistings,22,Maintains the relationship between contacts and members around listings in consumer portals.,9/26/2017,2026-05-04T15:51:36Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/ContactListings/
Contacts,contacts,91,Information on client and other contacts of the member.,9/24/2015,2026-05-04T15:51:36Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/Contacts/
EntityEvent,entityevent,4,"An event log offering an alternative to timestamps, providing an OData-compliant logical timestamp methodology.",6/20/2019,2026-05-04T15:51:37Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/EntityEvent/
Field,field,4,Metadata about available fields on a given server in a predictable and user-friendly format.,12/8/2021,2026-05-04T15:51:37Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/Field/
HistoryTransactional,historytransactional,23,"A transactional history of the listing, showing before and after values of field changes.",9/24/2015,2026-05-04T15:51:38Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/HistoryTransactional/
InternetTracking,internettracking,59,A standard data set for recording and transfer of event-related information of real estate products.,9/1/2017,2026-05-04T15:51:38Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/InternetTracking/
InternetTrackingSummary,internettrackingsummary,27,"Sum of specific tracking events over a period of time, such as listings viewed or shared.",4/21/2021,2026-05-04T15:51:38Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/InternetTrackingSummary/
LockOrBox,lockorbox,44,"Lockbox, smart lock and showing agent information.",7/25/2019,2026-05-04T15:51:39Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/LockOrBox/
Lookup,lookup,6,Metadata about lookups (enumerations) available on a given server.,2/2/2022,2026-05-04T15:51:39Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/Lookup/
Media,media,41,"Photos, virtual tours, documents, supplements and other media related to listings.",8/27/2015,2026-05-04T15:51:40Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/Media/
