Resource,FieldsWithUsage,AvgOrgPct,MedianOrgPct,WeightedOrgPct,SumAdopted,SumTotal,MaxOrgTotal
Lookup,6,46.166666666666664,48,46.269379844961236,955,2064,344
Member,73,45.50684931506849,43,45.51210576616757,11429,25112,344
OpenHouse,26,43.38461538461539,46,43.30277280858677,3873,8944,344
Office,61,42.98360655737705,29,42.99466260007625,9022,20984,344
Property,624,39.48076923076923,32,39.48317307692308,84753,214656,344
Media,33,22.545454545454547,23,22.55109231853418,2560,11352,344
PropertyRooms,16,19.375,24,19.313226744186046,1063,5504,344
PropertyUnitTypes,15,14.333333333333334,18,14.302325581395348,738,5160,344
HistoryTransactional,19,6.421052631578948,10,6.288249694002449,411,6536,344
SocialMedia,9,4.0,1,3.8436692506459944,119,3096,344
OfficeAssociation,6,3.5,5,3.6337209302325584,75,2064,344
MemberAssociation,6,2.8333333333333335,5,2.810077519379845,58,2064,344
Field,4,2.0,2,2.252906976744186,31,1376,344
PropertyGreenVerification,13,1.3076923076923077,1,1.4087656529516994,63,4472,344
PropertyPowerProduction,6,1.0,1,1.308139534883721,27,2064,344
Teams,18,0.1111111111111111,0,0.32299741602067183,20,6192,344
Association,8,0.0,0,0.29069767441860467,8,2752,344
Contacts,2,0.0,0,0.29069767441860467,2,688,344
EntityEvent,3,0.0,0,0.29069767441860467,3,1032,344
OtherPhone,8,0.0,0,0.29069767441860467,8,2752,344
OUID,11,0.0,0,0.29069767441860467,11,3784,344
Prospecting,2,0.0,0,0.29069767441860467,2,688,344
SavedSearch,2,0.0,0,0.29069767441860467,2,688,344
TeamMembers,12,0.0,0,0.29069767441860467,12,4128,344
